Log from 2023-05-14 
Total actions: 160
Start time: 20:56:09
End time:   20:56:52

  Time   | Action
20:56:09 | →
20:56:09 | →
20:56:10 | ↓
20:56:10 | →
20:56:10 | ↓
20:56:11 | a
20:56:12 | U
20:56:13 | →
20:56:13 | →
20:56:14 | ↓
20:56:14 | ↓
20:56:14 | ↓
20:56:14 | ←
20:56:15 | ←
20:56:15 | ←
20:56:15 | ↑
20:56:15 | ↑
20:56:15 | →
20:56:15 | →
20:56:16 | ↓
20:56:16 | ↓
20:56:16 | ↑
20:56:17 | ←
20:56:17 | ←
20:56:17 | →
20:56:17 | →
20:56:18 | ←
20:56:19 | ←
20:56:19 | →
20:56:19 | →
20:56:20 | a
20:56:21 | D
20:56:21 | A
20:56:21 | A
20:56:21 | A
20:56:21 | A
20:56:22 | A
20:56:22 | A
20:56:22 | A
20:56:22 | A
20:56:22 | A
20:56:22 | A
20:56:22 | A
20:56:22 | A
20:56:23 | A
20:56:23 | A
20:56:23 | A
20:56:23 | A
20:56:23 | A
20:56:23 | A
20:56:24 | ↓
20:56:24 | ↓
20:56:25 | ↓
20:56:25 | ←
20:56:25 | ←
20:56:25 | ←
20:56:25 | ←
20:56:26 | ↑
20:56:26 | ↑
20:56:26 | →
20:56:26 | →
20:56:26 | →
20:56:26 | →
20:56:27 | →
20:56:27 | →
20:56:27 | →
20:56:27 | ↑
20:56:27 | ↑
20:56:27 | ↑
20:56:28 | a
20:56:28 | D
20:56:28 | D
20:56:28 | D
20:56:29 | A
20:56:29 | A
20:56:29 | A
20:56:29 | A
20:56:29 | A
20:56:29 | A
20:56:29 | A
20:56:29 | A
20:56:30 | A
20:56:30 | A
20:56:30 | A
20:56:30 | A
20:56:32 | P
20:56:33 | →
20:56:34 | →
20:56:34 | ↓
20:56:34 | →
20:56:34 | →
20:56:34 | →
20:56:35 | ↑
20:56:35 | ↑
20:56:35 | ←
20:56:36 | a
20:56:37 | U
20:56:38 | ↓
20:56:38 | ↓
20:56:38 | ↓
20:56:39 | ↓
20:56:39 | ↓
20:56:39 | ←
20:56:39 | ↑
20:56:39 | →
20:56:39 | →
20:56:40 | →
20:56:40 | ↑
20:56:40 | ←
20:56:40 | ←
20:56:40 | ←
20:56:41 | ↑
20:56:41 | →
20:56:41 | →
20:56:41 | →
20:56:41 | ↓
20:56:41 | ↓
20:56:42 | ←
20:56:42 | ←
20:56:42 | ←
20:56:42 | ←
20:56:42 | ↑
20:56:43 | ↑
20:56:43 | →
20:56:43 | →
20:56:43 | →
20:56:43 | →
20:56:44 | →
20:56:44 | ↓
20:56:44 | ↓
20:56:45 | ↑
20:56:45 | a
20:56:46 | D
20:56:46 | D
20:56:46 | D
20:56:46 | D
20:56:46 | D
20:56:46 | A
20:56:46 | A
20:56:46 | A
20:56:47 | A
20:56:47 | A
20:56:47 | A
20:56:47 | A
20:56:47 | D
20:56:47 | A
20:56:47 | A
20:56:47 | A
20:56:49 | ↓
20:56:49 | ↓
20:56:49 | ↓
20:56:49 | ↓
20:56:49 | ←
20:56:50 | ←
20:56:50 | ←
20:56:50 | ←
20:56:50 | →
20:56:50 | →
20:56:51 | →
20:56:52 | q
